piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
112_Chorale_14_Bass_8	1: 4/4	1: 0	27	27	108.0	36	36	144.0	192.0	82	42	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 14, Bass 8						2025-01-31	Linux					"<font size=""15""/><b>Chorale 14, Bass 8</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/112_Chorale_14_Bass_8.mscx	False	36-76 (C2-E5)	mxl	Piano	60-76 (C4-E5)	Piano	36-57 (C2-A3)
113_Chorale_15_Bass_1	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	90	44	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 15, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/113_Chorale_15_Bass_1.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-57 (D2-A3)
114_Chorale_15_Bass_2	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	96	52	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/114_Chorale_15_Bass_2.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-59 (D2-B3)
115_Chorale_15_Bass_3	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	98	54	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 3						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/115_Chorale_15_Bass_3.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-57 (D2-A3)
116_Chorale_15_Bass_4	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	91	46	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 4						2025-01-31	Linux					"<font size=""15""/><b>Chorale 15, Bass 4</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/116_Chorale_15_Bass_4.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-57 (D2-A3)
117_Chorale_15_Bass_5	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	91	48	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 15, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/117_Chorale_15_Bass_5.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-59 (D2-B3)
118_Chorale_15_Bass_6	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	85	44	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/118_Chorale_15_Bass_6.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-59 (D2-B3)
119_Chorale_15_Bass_7	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	95	48	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 7						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/119_Chorale_15_Bass_7.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-55 (D2-G3)
11_Chorale_2_Bass_3	1: 4/4	1: 1	27	27	108.0	38	38	152.0	196.0	99	57	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 2, Bass 3						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/11_Chorale_2_Bass_3.mscx	False	43-74 (G2-D5)	mxl	Piano	64-74 (E4-D5)	Piano	43-57 (G2-A3)
120_Chorale_15_Bass_8	1: 4/4	1: 2	26	26	104.0	36	36	144.0	188.0	90	46	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 15, Bass 8						2025-01-31	Linux					"<font size=""15""/><b>Chorale 15, Bass 8</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/120_Chorale_15_Bass_8.mscx	False	38-74 (D2-D5)	mxl	Piano	59-74 (B3-D5)	Piano	38-55 (D2-G3)
