mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	12	46	46	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	45
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	50
13	13	48	48	4.0	0	0	4/4	2	1	1		1	1		4	52	E3	3	52
13	13	48	48	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	51
14	14	54	54	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	56	G#3	3	54
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	53
15	15	56	56	1.0	0	0	4/4	2	1	1/4		1/4	1		3	57	A3	3	58
15	15	56	56	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	55
15	15	57	57	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	59
15	15	58	58	0.0	1/2	1/2	4/4	1	1	0	grace4	1/4	1		5	71	B4	4	56
15	15	58	58	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	60
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	57
15	15	59	59	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		4	52	E3	3	61
16	16	60	60	4.0	0	0	4/4	2	1	1		1	1		9	51	D#3	3	63
16	16	60	60	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	62
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	44	G#2	2	65
17	17	66	66	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	64	E4	4	64
18	18	68	68	2.0	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	68
18	18	68	68	2.0	0	0	4/4	1	1	1/2		1/2	1		6	66	F#4	4	66
18	18	70	70	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	69
18	18	70	70	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	67
19	19	72	72	2.0	0	0	4/4	2	1	1/2		1/2	1		7	49	C#3	3	72
19	19	72	72	2.0	0	0	4/4	1	1	1/2		1/2	1		3	69	A4	4	70
19	19	74	74	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		5	47	B2	2	73
19	19	74	74	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		8	68	G#4	4	71
20	20	76	76	2.0	0	0	4/4	2	1	1/2		1/2	1		10	46	A#2	2	75
