mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	49						
12	12	48	48	0.0	1	1	FiguredBass	4/4	1	1	0						1/2		5		
12	12	50	50	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	_			
12	12	52	52	0.0	2	2	FiguredBass	4/4	1	1	0						1/2	6	4	3b	
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	50						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__			
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	52						
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	53						
13	13	52	52	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	5__	h3__		
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	54						1
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	55						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	56						2
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	57						
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59						
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	4h	2		
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	60						
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	4	2		
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	61						
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	62						
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	63						
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1	6			
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	64						
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	65						
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	66						
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	67						
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	68						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	69						
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	70						
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	h			
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	71						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4__	2__		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	72						
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	_	_		
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	73						
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	74						
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	75						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	76						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	77						
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__			
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	78						
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	79						
18	18	72	72	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	h			
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0						1/8	6			
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	80						
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	81						
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	82						
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	83						
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	84						
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	85						
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1	6h__	5__	3__	
19	19	72	72	4.0	0	0	Chord	4/4	1	1	1		1	1	86						
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	87						
19	19	73	73	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	#	7		
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	88						
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	#	7		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	89						
19	19	75	75	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4			_	
19	19	76	76	0.0	1	1	FiguredBass	4/4	2	1	0						1/4			#	
19	19	77	77	0.0	5/4	5/4	FiguredBass	4/4	2	1	0						1/4	5	4	8	
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	#		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	90						
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	91						
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	92						
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__			
21	21	82	82	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	93						
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	94						
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	95						
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	96						
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	97						
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	98						
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	9			
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	99						
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6	5		
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	100						3
22	22	85	85	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	3			
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	101						
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	102						4
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	103						
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
23	23	88	88	4.0	0	0	Chord	4/4	1	1	1		1	1	104						
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	105						5
23	23	89	89	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	106						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	#3	8		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	107						
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
24	24	92	92	4.0	0	0	Chord	4/4	1	1	1		1	1	108						
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1		1	1	109						
