mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	19			
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6__	5
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	20			
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		4__
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21			
8	8	32	32	0.0	1	1	FiguredBass	4/4	1	1	0					1/2		4__
8	8	34	34	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	_	
8	8	36	36	0.0	2	2	FiguredBass	4/4	1	1	0					1/2	5	
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1/2		_
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	22			
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	3	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	23			
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	24			
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	25			
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	26			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	27			
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	28			
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	29			
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	30			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	31			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	32			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33			
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	34			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35			
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1	4	8__
13	13	48	48	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	36			
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	37			
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	#__	
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	38			
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2		_
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39			
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0					1/2		7
13	13	54	54	0.0	3/2	3/2	FiguredBass	4/4	2	1	0					1/2	_	
13	13	56	56	0.0	2	2	FiguredBass	4/4	2	1	0					1/2	#__	
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1		1	1	40			
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1		1	1	41			
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	42			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	43			
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	44			
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45			
16	16	64	64	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6	
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	46			
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	47			
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	7	
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	48			
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7	
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	49			
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	50			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51			
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1	4	
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	52			
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0					1	3	
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1		1	1	53			
18	18	72	72	0.0	1	1	FiguredBass	4/4	2	1	0					1	3	
