mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	34						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1	4	8__		
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	35						
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	3__			
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	_	_		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	37						
8	8	32	32	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	7			
8	8	34	34	0.0	3/2	3/2	FiguredBass	4/4	2	1	0						1/2	3__			
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	38						
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	39						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3		
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	40						
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	41						
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	42						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	43						
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4	2		
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	44						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45						
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	4	3		
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	46						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	47						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	48						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	49						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/4	4			
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	50						
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	1	1	0						1/4	3			
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	51						
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	3			
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	52						
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7	6	3	
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	53						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	54						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5__	4		
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	55						
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2		#__		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	56						
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0						1		#__		
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	57						
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0						1	_	_		
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5__	3__		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59						
14	14	56	56	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	h7			
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	60						3
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	h7			3
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	61						3
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	62						
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	63						
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	64						
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5__	3__		
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	65						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66						
15	15	60	60	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	67						4
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	68						4
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	69						
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	70						5
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	71						
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	72						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	73						
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	74						6
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	75						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	76						7
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	77	d					
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	78						
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	79						8
17	17	65	65	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	80						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	8			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	81						
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	82						
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1		1	1	83						
