mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
22	22	85	85	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	6			
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	75							
22	22	86	86	0.0	1/2	1/2	StaffText	4/4	2	1	0						"<font size=""11.9962""/>/"					
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	76							
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6			
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	77							
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	9			
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	78							
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	79							
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6	5		
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	80							
23	23	89	89	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	6			
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	81							
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	82							
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	83							
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	84							5
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	85							
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	86							
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	87	548						
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	88	53d						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3		
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1		1	1	89							
25	25	96	96	4.0	0	0	Chord	4/4	2	1	1		1	1	90							
