mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	55											
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0												5			
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0												5			
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	9			
17	17	66	66	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	56											
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	57											
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	8			
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	58											
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	8			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	59											
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0											1	4			
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	60											
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0											1	#			
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1		1	1	61											
18	18	72	72	0.0	1	1	FiguredBass	4/4	2	1	0											1	#			
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	6	5		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	62											
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	63											
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	64											
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	h7	5		
20	20	78	78	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	65											
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66											
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	67											
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	68											
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0											1/2	5			
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	69											
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	6			
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	70											
21	21	84	84	0.0	1	1	FiguredBass	4/4	1	1	0											1/2	6			
21	21	86	86	0.0	3/2	3/2	FiguredBass	4/4	1	1	0											1/2	6__			
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	_			
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	71											
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	72											4
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	73											
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0											1	4			
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1		1	1	74											
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0											1	#			
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1		1	1	75											
23	23	88	88	4.0	0	0	Chord	4/4	1	1	1		1	1	76											
23	23	88	88	4.0	0	0	Chord	4/4	2	1	1		1	1	77											
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	b7			
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	78											
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	79											
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0											1/2	5			
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	80											
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	h6			
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	81											
25	25	100	100	0.0	1	1	FiguredBass	4/4	1	1	0											1/2	h6			
25	25	102	102	0.0	3/2	3/2	FiguredBass	4/4	1	1	0											1/2	6			
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	82											
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	83											5
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	84											
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0											1/2	5	4		
26	26	100	100	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	85											
26	26	102	102	0.0	1/2	1/2	FiguredBass	4/4	1	1	0											1/2	8	3		
26	26	102	102	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	86											
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	7			
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	87											
26	26	102	102	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	7			
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	88											
27	27	104	104	0.0	0	0	FiguredBass	4/4	1	1	0											1	3	1		
27	27	104	104	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	89											
27	27	104	104	4.0	0	0	Chord	4/4	1	1	1		1	1	90											
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	6	4	3	
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	91											6
27	27	105	105	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	5	3		
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	92											
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	6	5		
27	27	106	106	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	93											7
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	94											
28	28	108	108	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0					
28	28	108	108	0.0	0	0	StaffText	4/4	1	1	0					<b>Adagio</b>										
28	28	108	108	0.0	0	0	FiguredBass	4/4	1	1	0											1	9	4		
28	28	108	108	4.0	0	0	Chord	4/4	1	1	1		1	1	95											
28	28	108	108	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	8	3		
28	28	108	108	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	96											
28	28	110	110	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	8	3		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	97											
28	28	112	112	0.0	1	1	FiguredBass	4/4	2	1	0											1/2	5	#		
28	28	114	114	0.0	3/2	3/2	FiguredBass	4/4	2	1	0											1/2	5	#		
28	28	116	116	0.0	2	2	FiguredBass	4/4	2	1	0											1/2	6	4		
