mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	14						
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	15						
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	16						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6	4	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20						
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	21						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	22						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	4	h	
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	23						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24						
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	25						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	26						0
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	27						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0							1	5__	4	
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	28						
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0							1		3__	
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	29						
9	9	36	36	0.0	1	1	FiguredBass	4/4	2	1	0							1		3__	
9	9	40	40	0.0	2	2	FiguredBass	4/4	2	1	0							1	_	_	
