mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	30				
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5	3	
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	31				7
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	5	3	7
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	32				7
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	33				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	6		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	34				
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5__	2__	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	35				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_	_	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	36				
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	9		
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	37				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	38				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	39				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	40				
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1	6__	5__	
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	41				
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_	_	
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	42				
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	7		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	43				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	7		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	44				
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	8		
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	45				
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	46				
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	47				
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4__	2__	
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48				
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	_	_	
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	49				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	50				8
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	51				8
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	52				
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	53				
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5	3	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	54				
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	55				9
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	56				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	57				
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4	2	
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/4	3		
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	59				
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	1	1	0					1/4	3		
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	1	1	0					1/4	5		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	60				
12	12	48	48	0.0	1	1	FiguredBass	4/4	1	1	0					1/4	6		
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5		
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	61				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	62				
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9		
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	63				
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	64				
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	65				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	66				
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	67				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__	4__	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	68				
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_	_	
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	69				10
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	70				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	71				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	72				
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	73				
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4	
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	74				
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5	3	
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	75				11
15	15	57	57	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	5	3	
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	76				
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	77				
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5__	2__	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	78				
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_	_	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	79				
16	16	64	64	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	9		
16	16	60	60	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	3		
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	80				
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	81				
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	82				12
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	83				
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5	
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	84				
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	7		
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	85				
17	17	65	65	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	7		
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	86				
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	7		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	87				
17	17	67	67	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	8		
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	88				
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1		1	1	89				
